"DateTime","Hagar Verð ","Hagar Magn"
"2014-11-11 18:00:00",41.9,1000000
"2014-11-12 18:00:00",41.5,549700
"2014-11-13 18:00:00",42.05,3173900
"2014-11-14 18:00:00",41.7,321190
"2014-11-17 18:00:00",42,8455813
"2014-11-18 18:00:00",42.35,1115560
"2014-11-19 18:00:00",42.7,6247618
"2014-11-20 18:00:00",42.45,802465
"2014-11-21 18:00:00",42.6,720464
"2014-11-24 18:00:00",42.6,1292500
"2014-11-25 18:00:00",42.8,157000
"2014-11-26 18:00:00",42.8,2911000
"2014-11-27 18:00:00",42.5,1598000
"2014-11-28 18:00:00",42.2,3559860
"2014-12-01 18:00:00",41.75,3556800
"2014-12-02 18:00:00",42.25,6444422
"2014-12-03 18:00:00",42.35,955848
"2014-12-04 18:00:00",43.1,2817063
"2014-12-05 18:00:00",42.8,2264499
"2014-12-08 18:00:00",42.4,3592619
"2014-12-09 18:00:00",42.5,7626713
"2014-12-10 18:00:00",42.8,2738623
"2014-12-11 18:00:00",42.8,3638109
"2014-12-12 18:00:00",42.75,1789864
"2014-12-15 18:00:00",42.8,3112284
"2014-12-16 18:00:00",42.6,469044
"2014-12-17 18:00:00",42.2,7756110
"2014-12-18 18:00:00",40.9,7077611
"2014-12-19 18:00:00",40.6,3171111
"2014-12-22 18:00:00",40.45,2163615
"2014-12-23 18:00:00",40.35,1252435
"2014-12-29 18:00:00",40.05,325000
"2014-12-30 18:00:00",40.45,3004563
"2015-01-02 18:00:00",40.4,3664477
"2015-01-05 18:00:00",40.9,4472549
"2015-01-06 18:00:00",41.65,3832580
"2015-01-07 18:00:00",42.2,3724002
"2015-01-08 18:00:00",42,600000
"2015-01-09 18:00:00",42,3265220
"2015-01-12 18:00:00",42.1,2538837
"2015-01-13 18:00:00",42.9,6298873
"2015-01-14 18:00:00",43.3,626334
"2015-01-15 18:00:00",44.2,6912122
"2015-01-16 18:00:00",43.4,6620932
"2015-01-19 18:00:00",43.05,1662284
"2015-01-20 18:00:00",43.2,1524949
"2015-01-21 18:00:00",42.4,4717750
"2015-01-22 18:00:00",42.6,2522323
"2015-01-23 18:00:00",42.4,2189233
"2015-01-26 18:00:00",42.4,2530000
"2015-01-27 18:00:00",41.9,1964976
"2015-01-28 18:00:00",41.5,2829663
"2015-01-29 18:00:00",41.7,2382378
"2015-01-30 18:00:00",41.8,3059156
"2015-02-02 18:00:00",41.85,610564
"2015-02-03 18:00:00",42,207652
"2015-02-04 18:00:00",41.95,393807
"2015-02-05 18:00:00",42.4,3870000
"2015-02-06 18:00:00",42.25,2182000
"2015-02-09 18:00:00",42.275,4058195
"2015-02-10 18:00:00",42.2,5745772
"2015-02-11 18:00:00",42.2,15000
"2015-02-12 18:00:00",42.4,1720257
"2015-02-13 18:00:00",42.4,232000
"2015-02-16 18:00:00",42.5,556000
"2015-02-17 18:00:00",42.7,4571664
"2015-02-18 18:00:00",42.8,2424765
"2015-02-19 18:00:00",43,3013846
"2015-02-20 18:00:00",42.8,1159900
"2015-02-23 18:00:00",42.9,491000
"2015-02-24 18:00:00",42.8,730000
"2015-02-25 18:00:00",43.1,2762054
"2015-02-26 18:00:00",43.9,6358124
"2015-02-27 18:00:00",44.1,819896
"2015-03-02 18:00:00",44.225,911280
"2015-03-03 18:00:00",44.5,26950
"2015-03-04 18:00:00",45.05,4158210
"2015-03-05 18:00:00",44.8,2015558
"2015-03-06 18:00:00",44.9,611667
"2015-03-09 18:00:00",44.6,1588200
"2015-03-10 18:00:00",44.05,2697460
"2015-03-11 18:00:00",44.1,1075800
"2015-03-12 18:00:00",43.95,2040000
"2015-03-13 18:00:00",43.8,104000
"2015-03-16 18:00:00",43.5,2276526
"2015-03-17 18:00:00",43.5,1408152
"2015-03-18 18:00:00",43.2,1235631
"2015-03-19 18:00:00",43.2,0
"2015-03-20 18:00:00",43.7,420951
"2015-03-23 18:00:00",43.85,1044016
"2015-03-24 18:00:00",43,2015257
"2015-03-25 18:00:00",42,4436700
"2015-03-26 18:00:00",41.9,800000
"2015-03-27 18:00:00",41.95,481329
"2015-03-30 18:00:00",42.5,1421810
"2015-03-31 18:00:00",42.25,1152817
"2015-04-01 18:00:00",42.4,1007125
"2015-04-07 18:00:00",42.35,129250
"2015-04-08 18:00:00",42.3,230949
"2015-04-09 18:00:00",42.8,2946000
"2015-04-10 18:00:00",42.7,69600
"2015-04-13 18:00:00",42.7,500000
"2015-04-14 18:00:00",42.6,781500
"2015-04-15 18:00:00",42.65,397000
"2015-04-16 18:00:00",42.6,7526163
"2015-04-17 18:00:00",42.3,120000
"2015-04-20 18:00:00",42.8,253912
"2015-04-21 18:00:00",42,1578726
"2015-04-22 18:00:00",42.25,2128640
"2015-04-24 18:00:00",42.35,521399
"2015-04-27 18:00:00",42.05,711176
"2015-04-28 18:00:00",41.9,594475
"2015-04-29 18:00:00",41.85,384245
"2015-04-30 18:00:00",41.7,40959
"2015-05-04 18:00:00",42.3,691627
"2015-05-05 18:00:00",42,1433334
"2015-05-06 18:00:00",42,2516436
"2015-05-07 18:00:00",42,0
"2015-05-08 18:00:00",41.85,5175054
"2015-05-11 18:00:00",42.7,5589966
"2015-05-12 18:00:00",43.4,4701560
"2015-05-13 18:00:00",41.8,8674900
"2015-05-15 18:00:00",41.2,2530927
"2015-05-18 18:00:00",40.6,7500000
"2015-05-19 18:00:00",40.3,880184
"2015-05-20 18:00:00",40.05,2040235
"2015-05-21 18:00:00",40,4468806
"2015-05-22 18:00:00",39.3,7324400
"2015-05-26 18:00:00",39.75,6482000
"2015-05-27 18:00:00",40.5,3754058
"2015-05-28 18:00:00",39.9,2556700
"2015-05-29 18:00:00",40,5923835
"2015-06-01 18:00:00",39.8,547923
"2015-06-02 18:00:00",39.8,1000000
"2015-06-03 18:00:00",39.25,7122912
"2015-06-04 18:00:00",37.6,12003506
"2015-06-05 18:00:00",36.3,2725280
"2015-06-08 18:00:00",36.7,4611520
"2015-06-09 18:00:00",37.2,3272463
"2015-06-10 18:00:00",37,526000
"2015-06-11 18:00:00",36.35,2540000
"2015-06-12 18:00:00",36.6,2507408
"2015-06-15 18:00:00",36.4,57935
"2015-06-16 18:00:00",36.05,1879000
"2015-06-18 18:00:00",36,61646
"2015-06-19 18:00:00",36.25,1515456
"2015-06-22 18:00:00",36.5,1300000
"2015-06-23 18:00:00",36.6,407000
"2015-06-24 18:00:00",37.1,1516500
"2015-06-25 18:00:00",37.2,15779
"2015-06-26 18:00:00",37.25,1075000
"2015-06-29 18:00:00",36.9,1700276
"2015-06-30 18:00:00",36.3,1780000
"2015-07-01 18:00:00",36.3,7921483
"2015-07-02 18:00:00",37,5711196
"2015-07-03 18:00:00",37.15,2015000
"2015-07-06 18:00:00",37.5,59200
"2015-07-07 18:00:00",37.1,454775
"2015-07-08 18:00:00",37.6,1708727
"2015-07-09 18:00:00",37.55,2038300
"2015-07-10 18:00:00",37.5,2508650
"2015-07-13 18:00:00",37.25,23550
"2015-07-14 18:00:00",37.4,1054000
"2015-07-15 18:00:00",37.25,1022000
"2015-07-16 18:00:00",36.9,784986
"2015-07-17 18:00:00",36.95,8000
"2015-07-20 18:00:00",37.3,14000
"2015-07-21 18:00:00",37.4,7902
"2015-07-22 18:00:00",37,779338
"2015-07-23 18:00:00",36.55,391757
"2015-07-24 18:00:00",36.6,544589
"2015-07-27 18:00:00",36.5,60495
"2015-07-28 18:00:00",36.15,5080308
"2015-07-29 18:00:00",36,989386
"2015-07-30 18:00:00",36.35,2388589
"2015-07-31 18:00:00",36.3,2369729
"2015-08-04 18:00:00",36.6,1818762
"2015-08-05 18:00:00",36.4,888240
"2015-08-06 18:00:00",36.3,150490
"2015-08-07 18:00:00",36.35,20987
"2015-08-10 18:00:00",36.35,0
"2015-08-11 18:00:00",37.1,6290000
"2015-08-12 18:00:00",37.95,6390525
"2015-08-13 18:00:00",38.75,11159805
"2015-08-14 18:00:00",38.85,8501519
"2015-08-17 18:00:00",38.7,7635000
"2015-08-18 18:00:00",39,48275
"2015-08-19 18:00:00",39.4,5963000
"2015-08-20 18:00:00",39.9,3458152
"2015-08-21 18:00:00",39.6,1540000
"2015-08-24 18:00:00",38.85,6121762
"2015-08-25 18:00:00",39.1,1600000
"2015-08-26 18:00:00",38.9,2139907
"2015-08-27 18:00:00",39,5735400
"2015-08-28 18:00:00",39.35,1650000
"2015-08-31 18:00:00",39.75,4735163
"2015-09-01 18:00:00",39.7,700000
"2015-09-02 18:00:00",39.75,489500
"2015-09-03 18:00:00",39.5,526128
"2015-09-04 18:00:00",40,51000
"2015-09-07 18:00:00",39.9,2673445
"2015-09-08 18:00:00",40.75,2856984
"2015-09-09 18:00:00",41.65,10760000
"2015-09-10 18:00:00",41.4,3240333
"2015-09-11 18:00:00",41.45,1471512
"2015-09-14 18:00:00",41.4,4083284
"2015-09-15 18:00:00",41.85,6797694
"2015-09-16 18:00:00",41.8,1302938
"2015-09-17 18:00:00",42.25,1200
"2015-09-18 18:00:00",41.75,377985
