"DateTime","Reginn Verð ","Reginn Magn"
"2014-08-18 18:00:00",15.5,148657
"2014-08-19 18:00:00",15.5,0
"2014-08-20 18:00:00",15.7,400000
"2014-08-21 18:00:00",15.7,652000
"2014-08-22 18:00:00",15.7,250000
"2014-08-25 18:00:00",15.7,31726
"2014-08-26 18:00:00",15.65,4000000
"2014-08-27 18:00:00",15.675,3627389
"2014-08-28 18:00:00",15.75,1042366
"2014-08-29 18:00:00",15.85,6109871
"2014-09-01 18:00:00",15.8,6607423
"2014-09-02 18:00:00",15.7,1500000
"2014-09-03 18:00:00",15.55,704000
"2014-09-04 18:00:00",15.45,143965
"2014-09-05 18:00:00",15.7,1630000
"2014-09-08 18:00:00",15.75,585000
"2014-09-09 18:00:00",15.5,6960000
"2014-09-10 18:00:00",15.3,57000
"2014-09-11 18:00:00",15.3,0
"2014-09-12 18:00:00",15.3,1001135
"2014-09-15 18:00:00",15.3,2015000
"2014-09-16 18:00:00",15.25,13000
"2014-09-17 18:00:00",15.25,1160000
"2014-09-18 18:00:00",15.2,4439
"2014-09-19 18:00:00",15.2,0
"2014-09-22 18:00:00",15.2,0
"2014-09-23 18:00:00",15.2,0
"2014-09-24 18:00:00",15.2,128000
"2014-09-25 18:00:00",15.2,115000
"2014-09-26 18:00:00",15.25,2066000
"2014-09-29 18:00:00",15.2,270000
"2014-09-30 18:00:00",15.2,50000
"2014-10-01 18:00:00",15.2,33500
"2014-10-02 18:00:00",15.2,0
"2014-10-03 18:00:00",15.35,328037
"2014-10-06 18:00:00",15.35,0
"2014-10-07 18:00:00",15.25,11212
"2014-10-08 18:00:00",15.1,1897070
"2014-10-09 18:00:00",15.1,0
"2014-10-10 18:00:00",15.1,10211582
"2014-10-13 18:00:00",14.95,921376
"2014-10-14 18:00:00",14.9,1000000
"2014-10-15 18:00:00",14.75,536178
"2014-10-16 18:00:00",14.8,18506500
"2014-10-17 18:00:00",14.95,11492660
"2014-10-20 18:00:00",14.85,34000
"2014-10-21 18:00:00",14.85,13600
"2014-10-22 18:00:00",14.9,1303660
"2014-10-23 18:00:00",14.85,9005521
"2014-10-24 18:00:00",14.9,536002
"2014-10-27 18:00:00",14.75,364919
"2014-10-28 18:00:00",14.75,1157630
"2014-10-29 18:00:00",14.55,16850000
"2014-10-30 18:00:00",14.31,7400000
"2014-10-31 18:00:00",14.31,3000000
"2014-11-03 18:00:00",14.31,0
"2014-11-04 18:00:00",14.41,1269200
"2014-11-05 18:00:00",14.4,5278538
"2014-11-06 18:00:00",14.3,235000
"2014-11-07 18:00:00",14.3,1000000
"2014-11-10 18:00:00",14.3,0
"2014-11-11 18:00:00",14.3,0
"2014-11-12 18:00:00",14.1,465574
"2014-11-13 18:00:00",14.15,3590000
"2014-11-14 18:00:00",13.9,3715109
"2014-11-17 18:00:00",14.05,7500000
"2014-11-18 18:00:00",14.25,7515000
"2014-11-19 18:00:00",14.15,142425
"2014-11-20 18:00:00",14.31,260388
"2014-11-21 18:00:00",14.14,3129066
"2014-11-24 18:00:00",14.2,500000
"2014-11-25 18:00:00",14.31,8224656
"2014-11-26 18:00:00",14.2,6200000
"2014-11-27 18:00:00",14.1,5700000
"2014-11-28 18:00:00",14.15,3769465
"2014-12-01 18:00:00",14.15,0
"2014-12-02 18:00:00",14.1,219300
"2014-12-03 18:00:00",14,4291952
"2014-12-04 18:00:00",13.95,117164
"2014-12-05 18:00:00",14.05,1121000
"2014-12-08 18:00:00",14.05,0
"2014-12-09 18:00:00",14.25,8700000
"2014-12-10 18:00:00",14.55,7172700
"2014-12-11 18:00:00",14.6,5000000
"2014-12-12 18:00:00",14.45,2868493
"2014-12-15 18:00:00",14.3,1975629
"2014-12-16 18:00:00",14.05,2000000
"2014-12-17 18:00:00",14,1000000
"2014-12-18 18:00:00",13.65,9898455
"2014-12-19 18:00:00",13.8,2000000
"2014-12-22 18:00:00",13.55,1097678
"2014-12-23 18:00:00",13.625,2750000
"2014-12-29 18:00:00",13.625,0
"2014-12-30 18:00:00",13.55,1185850
"2015-01-02 18:00:00",13.55,2019800
"2015-01-05 18:00:00",13.75,4246604
"2015-01-06 18:00:00",13.75,1100000
"2015-01-07 18:00:00",14.15,14550208
"2015-01-08 18:00:00",14.4,3254274
"2015-01-09 18:00:00",14.43,4500000
"2015-01-12 18:00:00",14.46,1165000
"2015-01-13 18:00:00",14.46,0
"2015-01-14 18:00:00",14.71,22873300
