"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2009-01-21 18:00:00",13.26,0
"2009-01-22 18:00:00",13.26,0
"2009-01-23 18:00:00",13.3,21201
"2009-01-26 18:00:00",13.31,30000
"2009-01-27 18:00:00",13.35,0
"2009-01-28 18:00:00",13.41,60000
"2009-01-29 18:00:00",13.41,98000
"2009-01-30 18:00:00",13.41,0
"2009-02-02 18:00:00",13.41,0
"2009-02-03 18:00:00",13.41,0
"2009-02-04 18:00:00",13.41,0
"2009-02-05 18:00:00",13.4,0
"2009-02-06 18:00:00",13.4,5581
"2009-02-09 18:00:00",13.4,0
"2009-02-10 18:00:00",13.4,0
"2009-02-11 18:00:00",13.4,15245
"2009-02-12 18:00:00",13.4,11111
"2009-02-13 18:00:00",13.4,0
"2009-02-16 18:00:00",13.4,0
"2009-02-17 18:00:00",13.4,0
"2009-02-18 18:00:00",13.4,0
"2009-02-19 18:00:00",13.36,250000
"2009-02-20 18:00:00",13.4,0
"2009-02-23 18:00:00",12.82,0
"2009-02-24 18:00:00",12.82,0
"2009-02-25 18:00:00",12.71,5581
"2009-02-26 18:00:00",12.71,21111
"2009-02-27 18:00:00",12.7,0
"2009-03-02 18:00:00",12.7,11111
"2009-03-03 18:00:00",12.2,56111
"2009-03-04 18:00:00",12.2,0
"2009-03-05 18:00:00",11.46,133332
"2009-03-06 18:00:00",11.51,0
"2009-03-09 18:00:00",11.4,0
"2009-03-10 18:00:00",11.3,0
"2009-03-11 18:00:00",11.2,0
"2009-03-12 18:00:00",11.2,0
"2009-03-13 18:00:00",11.2,0
"2009-03-16 18:00:00",11,0
"2009-03-17 18:00:00",10,0
"2009-03-18 18:00:00",7,1900000
"2009-03-19 18:00:00",7,0
"2009-03-20 18:00:00",7,2328
"2009-03-23 18:00:00",7,0
"2009-03-24 18:00:00",7,0
"2009-03-25 18:00:00",7,1216190
"2009-03-26 18:00:00",7,840
"2009-03-27 18:00:00",7,0
"2009-03-30 18:00:00",7,0
"2009-03-31 18:00:00",7,0
"2009-04-01 18:00:00",7,0
"2009-04-02 18:00:00",7,0
"2009-04-03 18:00:00",5,6465
"2009-04-06 18:00:00",5,53535
"2009-04-07 18:00:00",5,0
"2009-04-08 18:00:00",5,0
"2009-04-14 18:00:00",5,0
"2009-04-15 18:00:00",5,0
"2009-04-16 18:00:00",5,0
"2009-04-17 18:00:00",5,0
"2009-04-20 18:00:00",5,0
"2009-04-21 18:00:00",5,0
"2009-04-22 18:00:00",5,0
"2009-04-24 18:00:00",5,0
"2009-04-27 18:00:00",5,0
"2009-04-28 18:00:00",5,0
"2009-04-29 18:00:00",5,0
"2009-04-30 18:00:00",4.95,0
"2009-05-04 18:00:00",4.5,72500
"2009-05-05 18:00:00",4.5,0
"2009-05-06 18:00:00",4.5,0
"2009-05-07 18:00:00",4.5,0
"2009-05-08 18:00:00",4.5,0
"2009-05-11 18:00:00",4.5,0
"2009-05-12 18:00:00",4.5,0
"2009-05-13 18:00:00",4.5,0
"2009-05-14 18:00:00",4.5,0
"2009-05-15 18:00:00",4.5,0
"2009-05-18 18:00:00",4.5,419790285
"2009-05-19 18:00:00",4.5,11111
"2009-05-20 18:00:00",4,124290
"2009-05-22 18:00:00",4.15,10000
"2009-05-25 18:00:00",4.5,238438350
"2009-05-26 18:00:00",4.5,0
"2009-05-27 18:00:00",4.5,0
"2009-05-28 18:00:00",4.6,0
"2009-05-29 18:00:00",4.6,0
"2009-06-02 18:00:00",4.6,0
"2009-06-03 18:00:00",4.6,0
"2009-06-04 18:00:00",4.6,0
"2009-06-05 18:00:00",4.6,0
"2009-06-08 18:00:00",4.6,0
"2009-06-09 18:00:00",4.6,0
"2009-06-10 18:00:00",4.6,0
"2009-06-11 18:00:00",4.6,0
"2009-06-12 18:00:00",4.6,0
"2009-06-15 18:00:00",4.6,0
"2009-06-16 18:00:00",4.6,0
"2009-06-18 18:00:00",5,211000
"2009-06-19 18:00:00",4.75,78947
"2009-06-22 18:00:00",4.75,0
"2009-06-23 18:00:00",4.75,0
"2009-06-24 18:00:00",4.75,0
"2009-06-25 18:00:00",4.75,0
"2009-06-26 18:00:00",4.75,0
"2009-06-29 18:00:00",4.75,0
"2009-06-30 18:00:00",4.75,0
"2009-07-01 18:00:00",4.75,0
"2009-07-02 18:00:00",4.75,0
"2009-07-03 18:00:00",4.75,0
"2009-07-06 18:00:00",4.75,0
"2009-07-07 18:00:00",4.75,0
"2009-07-08 18:00:00",4.5,0
"2009-07-09 18:00:00",4.5,0
"2009-07-10 18:00:00",4.5,0
"2009-07-13 18:00:00",4.5,0
"2009-07-14 18:00:00",4.25,62500
"2009-07-15 18:00:00",4.2,163000
"2009-07-16 18:00:00",4.2,0
