"DateTime","Eimskipafélag Íslands Verð ","Eimskipafélag Íslands Magn"
"2014-09-05 18:00:00",223,978000
"2014-09-08 18:00:00",223,24532
"2014-09-09 18:00:00",220.5,1929123
"2014-09-10 18:00:00",220.5,30031
"2014-09-11 18:00:00",220.5,375000
"2014-09-12 18:00:00",220.5,862515
"2014-09-15 18:00:00",220.5,105490
"2014-09-16 18:00:00",220.5,5335
"2014-09-17 18:00:00",220.5,1442
"2014-09-18 18:00:00",220.5,98000
"2014-09-19 18:00:00",219,452182
"2014-09-22 18:00:00",218.5,6308
"2014-09-23 18:00:00",223,798313
"2014-09-24 18:00:00",225.5,1888058
"2014-09-25 18:00:00",226.5,28584
"2014-09-26 18:00:00",224.5,510840
"2014-09-29 18:00:00",224.5,50000
"2014-09-30 18:00:00",222.5,653275
"2014-10-01 18:00:00",223,33558
"2014-10-02 18:00:00",226,1059159
"2014-10-03 18:00:00",229,44897
"2014-10-06 18:00:00",229,608765
"2014-10-07 18:00:00",230,522681
"2014-10-08 18:00:00",229,4808
"2014-10-09 18:00:00",231,57247
"2014-10-10 18:00:00",234.5,630981
"2014-10-13 18:00:00",235,58500
"2014-10-14 18:00:00",232,649919
"2014-10-15 18:00:00",220.5,2242973
"2014-10-16 18:00:00",218.5,784338
"2014-10-17 18:00:00",219,253700
"2014-10-20 18:00:00",218.5,8631
"2014-10-21 18:00:00",218.5,0
"2014-10-22 18:00:00",219.25,207881
"2014-10-23 18:00:00",224,1700340
"2014-10-24 18:00:00",222.5,435390
"2014-10-27 18:00:00",222.25,131310
"2014-10-28 18:00:00",224.5,21052
"2014-10-29 18:00:00",223.5,281100
"2014-10-30 18:00:00",224,150000
"2014-10-31 18:00:00",222.5,572500
"2014-11-03 18:00:00",222,102844
"2014-11-04 18:00:00",223,371325
"2014-11-05 18:00:00",223,320808
"2014-11-06 18:00:00",221,1208246
"2014-11-07 18:00:00",223,562200
"2014-11-10 18:00:00",222,4500
"2014-11-11 18:00:00",222.5,752135
"2014-11-12 18:00:00",223.5,50000
"2014-11-13 18:00:00",223,1114036
"2014-11-14 18:00:00",224,104000
"2014-11-17 18:00:00",227.5,1693021
"2014-11-18 18:00:00",228.5,190250
"2014-11-19 18:00:00",227,403425
"2014-11-20 18:00:00",228,495008
"2014-11-21 18:00:00",229,1602634
"2014-11-24 18:00:00",226,663650
"2014-11-25 18:00:00",226,321505
"2014-11-26 18:00:00",227,100000
"2014-11-27 18:00:00",225.5,986400
"2014-11-28 18:00:00",231,1472084
"2014-12-01 18:00:00",230.25,369300
"2014-12-02 18:00:00",231.5,388270
"2014-12-03 18:00:00",232.5,830505
"2014-12-04 18:00:00",237.5,768965
"2014-12-05 18:00:00",240,583056
"2014-12-08 18:00:00",237.5,121831
"2014-12-09 18:00:00",238.75,483040
"2014-12-10 18:00:00",242.25,338453
"2014-12-11 18:00:00",241,236130
"2014-12-12 18:00:00",241.5,38607
"2014-12-15 18:00:00",240.25,50000
"2014-12-16 18:00:00",240,783240
"2014-12-17 18:00:00",235.5,290120
"2014-12-18 18:00:00",237.25,456094
"2014-12-19 18:00:00",239,449900
"2014-12-22 18:00:00",236.5,446845
"2014-12-23 18:00:00",235.5,565791
"2014-12-29 18:00:00",236,85502
"2014-12-30 18:00:00",237,102109
"2015-01-02 18:00:00",239,646188
"2015-01-05 18:00:00",240,684584
"2015-01-06 18:00:00",240.5,109923
"2015-01-07 18:00:00",240.5,46000
"2015-01-08 18:00:00",239,158500
"2015-01-09 18:00:00",235,268980
"2015-01-12 18:00:00",236.5,231020
"2015-01-13 18:00:00",241.5,862552
"2015-01-14 18:00:00",245,666450
"2015-01-15 18:00:00",243.5,52172
"2015-01-16 18:00:00",243.5,0
"2015-01-19 18:00:00",239,818711
"2015-01-20 18:00:00",238,5460
"2015-01-21 18:00:00",240,155082
"2015-01-22 18:00:00",238,2250
"2015-01-23 18:00:00",239,224637
"2015-01-26 18:00:00",238.5,15000
"2015-01-27 18:00:00",238,62705
"2015-01-28 18:00:00",238.5,332617
"2015-01-29 18:00:00",238.5,0
"2015-01-30 18:00:00",236.5,60247
