"DateTime","Reitir fasteignafélag Verð ","Reitir fasteignafélag Magn"
"2016-12-06 18:00:00",91.2,1014988
"2016-12-07 18:00:00",91.7,3967566
"2016-12-08 18:00:00",91.9,2526023
"2016-12-09 18:00:00",92,736750
"2016-12-12 18:00:00",91.7,2527454
"2016-12-13 18:00:00",91.2,2500
"2016-12-14 18:00:00",92.1,4232782
"2016-12-15 18:00:00",92.1,300000
"2016-12-16 18:00:00",91.8,63365
"2016-12-19 18:00:00",93.1,2092246
"2016-12-20 18:00:00",93.1,801742
"2016-12-21 18:00:00",93.8,3430000
"2016-12-22 18:00:00",94.7,3757350
"2016-12-23 18:00:00",93.9,655000
"2016-12-27 18:00:00",93.7,4724
"2016-12-28 18:00:00",94.5,1594835
"2016-12-29 18:00:00",94,1710000
"2016-12-30 18:00:00",93.5,442337
"2017-01-02 18:00:00",94.9,3042838
"2017-01-03 18:00:00",94.9,0
"2017-01-04 18:00:00",95,5801000
"2017-01-05 18:00:00",95.1,4245783
"2017-01-06 18:00:00",94.2,1990576
"2017-01-09 18:00:00",94.2,2150
"2017-01-10 18:00:00",93.2,1232874
"2017-01-11 18:00:00",91.95,5377942
"2017-01-12 18:00:00",91.5,1759500
"2017-01-13 18:00:00",91.2,33989
"2017-01-16 18:00:00",91.3,133300
"2017-01-17 18:00:00",91,1057874
"2017-01-18 18:00:00",90.1,2824130
"2017-01-19 18:00:00",91.3,12874
"2017-01-20 18:00:00",91.3,1450000
"2017-01-23 18:00:00",91.8,3310000
"2017-01-24 18:00:00",90.8,2124719
"2017-01-25 18:00:00",91,1526798
"2017-01-26 18:00:00",90.7,3573330
"2017-01-27 18:00:00",91.8,2750000
"2017-01-30 18:00:00",91,20000
"2017-01-31 18:00:00",91,78984
"2017-02-01 18:00:00",89.4,1846594
"2017-02-02 18:00:00",90.8,3482672
"2017-02-03 18:00:00",92,4106074
"2017-02-06 18:00:00",92.3,1324796
"2017-02-07 18:00:00",91.9,745706
"2017-02-08 18:00:00",91.9,0
"2017-02-09 18:00:00",93.3,5234423
"2017-02-10 18:00:00",93.9,2697528
"2017-02-13 18:00:00",94.3,9817436
"2017-02-14 18:00:00",94.7,2058145
"2017-02-15 18:00:00",95.3,2023132
"2017-02-16 18:00:00",95.5,320769
"2017-02-17 18:00:00",94.6,43500
"2017-02-20 18:00:00",94.75,755500
"2017-02-21 18:00:00",94.7,3620248
"2017-02-22 18:00:00",93.4,2985000
"2017-02-23 18:00:00",92,1396111
"2017-02-24 18:00:00",90.7,1069316
"2017-02-27 18:00:00",90.7,103312
"2017-02-28 18:00:00",93,6686047
"2017-03-01 18:00:00",93.3,730194
"2017-03-02 18:00:00",94,2263658
"2017-03-03 18:00:00",93.3,2029874
"2017-03-06 18:00:00",93.2,17078
"2017-03-07 18:00:00",93.8,1154700
"2017-03-08 18:00:00",93.6,34432474
"2017-03-09 18:00:00",93.9,5683149
"2017-03-10 18:00:00",93.2,2698326
"2017-03-13 18:00:00",93.9,7396449
"2017-03-14 18:00:00",95.2,10398086
"2017-03-15 18:00:00",95.6,5375219
"2017-03-16 18:00:00",94.6,3534094
"2017-03-17 18:00:00",97.6,4888248
"2017-03-20 18:00:00",98.5,9740307
"2017-03-21 18:00:00",97.9,9338500
"2017-03-22 18:00:00",97.5,3117000
"2017-03-23 18:00:00",97.3,1026648
"2017-03-24 18:00:00",96.6,4218585
"2017-03-27 18:00:00",97.9,2415874
"2017-03-28 18:00:00",97.6,2698869
"2017-03-29 18:00:00",97.2,401939
"2017-03-30 18:00:00",95.8,1821887
"2017-03-31 18:00:00",96.5,1075076
"2017-04-03 18:00:00",97.4,4935059
"2017-04-04 18:00:00",98.6,5162189
"2017-04-05 18:00:00",100,3790261
"2017-04-06 18:00:00",100,6179651
"2017-04-07 18:00:00",99.5,1966586
"2017-04-10 18:00:00",99.3,60748
"2017-04-11 18:00:00",100,200000
"2017-04-12 18:00:00",100,76550
